Card ID,Title,HW3 Category,Actor,WBS Parent,WBS Module,Story Points,Sprint,Board Column
L-01,Driver registration with email verification code,Login,Driver,1.1.1,Accounts-Auth-Security,3,,Backlog
L-02,Apple sign-in (OAuth),Login,Driver,1.1.2,Accounts-Auth-Security,3,,Backlog
L-03,Google sign-in (OAuth),Login,Driver,1.1.2,Accounts-Auth-Security,2,,Backlog
L-04,Password reset and account recovery,Login,Driver,1.1.4,Accounts-Auth-Security,2,,Backlog
L-05,Operator staff login with multi-factor authentication,Login,Operator,1.2.3,Accounts-Auth-Security,3,,Backlog
L-06,30-minute session expiry and token refresh,Login,Both,1.2.3,Accounts-Auth-Security,2,,Backlog
L-07,Immediate session and API-token revocation on user removal,Login,Operator,1.2.4,Accounts-Auth-Security,2,,Backlog
L-08,"Login rate limiting, CAPTCHA and device checks",Login,Both,1.3.1,Accounts-Auth-Security,5,,Backlog
L-09,Staff invitation and facility assignment,Login,Operator,1.2.2,Accounts-Auth-Security,3,,Backlog
L-10,"Role and permission model (Operator Admin, Facility Manager, Finance, Attendant, Platform Admin)",Login,Operator,1.2.1,Accounts-Auth-Security,5,Sprint 1,To Do
U-01,Map view with facility pins and availability state,UI,Driver,2.2.1,Availability-Map-Nav,3,,Backlog
U-02,Destination and current-location search with arrival time and duration,UI,Driver,2.2.2,Availability-Map-Nav,5,,Backlog
U-03,"Filter panel (price, distance, covered, EV, height, 24/7)",UI,Driver,2.2.3,Availability-Map-Nav,2,,Backlog
U-04,Facility list view,UI,Driver,2.2.3,Availability-Map-Nav,1,,Backlog
U-05,"Facility detail page (photos, hours, entrance instructions)",UI,Driver,2.2.4,Availability-Map-Nav,2,,Backlog
U-06,Booking flow screens with all-in price display (4-tap target),UI,Driver,3.1.2,Reservations-Permits,5,,Backlog
U-07,Modify and cancel reservation screens,UI,Driver,3.1.4,Reservations-Permits,3,,Backlog
U-08,Active session screen with extend action,UI,Driver,3.2.1,Reservations-Permits,2,,Backlog
U-09,QR entry credential screen with offline cache,UI,Driver,3.3.1,Reservations-Permits,1,,Backlog
U-10,Vehicle profile management screens (up to 5 vehicles),UI,Driver,1.1.3,Accounts-Auth-Security,3,,Backlog
U-11,Saved payment methods screen,UI,Driver,4.1.3,Payments-Finance,1,,Backlog
U-12,"Notification preference screen (per-channel, per-event toggles)",UI,Driver,7.2.1,Notifications,1,,Backlog
